#,User,Name,A,B,C,D,E,F,G,H,I,J,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,Total_Qst,Total_Pen
39,team22/1,[UFMS] Largest Living Rodent,,,,1/40,,,6/-,1/21,7/-,3/-,2 (61),,,,40,,,,21,,2,61
40,team19/1,[UNIVASF] PiratasDoValeDoSãoFrancisco,,,,1/27,,,,1/35,5/-,,2 (62),,,,27,,,,35,,2,62
41,team45/1,[UNIR] TBK,,,,1/29,,,,1/40,3/-,,2 (69),,,,29,,,,40,,2,69
42,team16/1,[UNILINS] Programação Orientada a Balões,,,4/-,2/34,,,,1/34,1/-,,2 (88),,,,34,,,,34,,2,88
43,team38/1,[UEFS] Untitled.c,,,,3/75,,,,1/20,4/-,,2 (135),,,,75,,,,20,,2,135
44,team6/1,[UFPI] Dont Care,,,,1/43,,,,1/99,4/-,,2 (142),,,,43,,,,99,,2,142
45,team5/1,[FATEC-SJC] DEBUG,,,,1/147,,,,1/24,4/-,,2 (171),,,,147,,,,24,,2,171
46,team20/1,[UFSM] char *alho;,,,,3/52,,,,2/60,3/-,1/-,2 (172),,,,52,,,,60,,2,172
47,team2/1,[UNIMONTES] Thundercats,,,9/-,2/74,,,,1/78,1/-,,2 (172),,,,74,,,,78,,2,172
48,team35/1,"[UFAM] ICompUFAM-""Computa agora""",,,,2/68,,,,1/101,4/-,,2 (189),,,,68,,,,101,,2,189
49,team7/1,[UNIOESTE-Cascavel] Não Entre em Pânico,,,,2/174,,,,1/21,9/-,,2 (215),,,,174,,,,21,,2,215
