#,User,Name,A,B,C,D,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,F_pen,G_pen,H_pen,I_pen,J_pen,K_pen
11,teamccl10/1,[CCL] Never Lucky,1/6,6/-,,1/224,1/14,,1/-,,11/-,1/-,3 (244),6,,,224,14,,,,,
40,teambr56/1,[UFPel] Ta Serto,1/9,,,1/219,1/22,,,,,1/-,3 (250),9,,,219,22,,,,,
41,teambr19/1,[UESB] Ursos sem Curso,1/10,,,1/198,1/47,1/-,,,2/-,3/-,3 (255),10,,,198,47,,,,,
12,teamccl9/1,[CCL] VERÃO O ANO TODO,1/5,,,1/241,1/20,,,,3/-,1/-,3 (266),5,,,241,20,,,,,
42,teambr39/1,[UFFS] AKM,2/9,,,1/210,3/21,,4/-,,2/-,,3 (300),9,,,210,21,,,,,
43,teambr9/1,[UERJ] XOR,1/15,,,1/240,2/29,1/-,2/-,,1/-,3/-,3 (304),15,,,240,29,,,,,
44,teambr45/1,[IFSULMG-Muzambinho] Flecha no Joelho,2/11,,,2/230,1/24,,,,1/-,2/-,3 (305),11,,,230,24,,,,,
45,teambr42/1,[UNOESTE] Supermain Returns,1/15,,,1/267,1/24,,,,1/-,2/-,3 (306),15,,,267,24,,,,,
13,teamccl14/1,[CCL] Queijo com goiabada,4/46,5/-,,1/168,1/32,,1/-,,,3/-,3 (306),46,,,168,32,,,,,
46,teambr14/1,[UFU-Monte Carmelo] Bit Please,1/7,,,,4/47,,,,1/227,6/-,3 (341),7,,,,47,,,,227,
47,teambr15/1,[UNIJUI-Santa Rosa] Spyware,1/9,4/-,,,4/37,,2/-,,2/221,2/-,3 (347),9,,,,37,,,,221,
48,teambr41/1,[Pitágoras] Pitágoras 3,2/30,,,2/271,1/56,3/-,3/-,,,,3 (397),30,,,271,56,,,,,
49,teambr47/1,[UFRGS] Code Runners,1/7,,,,1/21,,2/-,,,1/-,2 (28),7,,,,21,,,,,
50,teambr8/1,[UFAM] ICompUFAM-POG,1/6,2/-,,,1/26,6/-,5/-,,2/-,3/-,2 (32),6,,,,26,,,,,
51,teambr40/1,[FAI] UaiFAI,1/19,,,,1/42,,,,,1/-,2 (61),19,,,,42,,,,,
52,teambr16/1,[USJT] Scrumlambation,2/14,,,,1/29,,3/-,,1/-,,2 (63),14,,,,29,,,,,
53,teambr53/1,[UFS] Pra q nome?,2/12,1/-,,,2/30,,,,,,2 (82),12,,,,30,,,,,
54,teambr28/1,[PUC-Rio] char mander;,1/9,1/-,,,2/54,,3/-,,1/-,3/-,2 (83),9,,,,54,,,,,
14,teamccl1/1,[CCL] deBuggers,2/12,,,15/-,3/28,,,,8/-,,2 (100),12,,,,28,,,,,
55,teambr36/1,[UFMA] UFMA GIF de Gatinhos,2/38,3/-,,,1/44,1/-,,,,,2 (102),38,,,,44,,,,,
56,teambr25/1,[IFTM-Patrocínio] Carvalhos,2/29,1/-,,,2/46,,4/-,,2/-,1/-,2 (115),29,,,,46,,,,,
57,teambr51/1,[UNESP-Bauru] UNESP Bauru,5/42,,,,1/43,5/-,,,1/-,4/-,2 (165),42,,,,43,,,,,
58,teambr1/1,[UNIME] Sem net não da,8/114,,,1/-,2/199,,,,,,2 (473),114,,,,199,,,,,
