0,1,2,3,4,5,6,7,8,9,10,11,12,13
[UFBA] ROBERIO E SEUS TECLADOS,1 (7%),1 (7%),1 (7%),1 (7%),1 (7%),1 (7%),5 (33%),2 (13%),1 (7%),0,1 (7%),15,13 (87%)
[UFU] Saideira,1 (4%),16 (57%),0,3 (11%),4 (14%),0,0,3 (11%),1 (4%),0,0,28,4 (14%)
[INATEL] stormtroop3rs,3 (30%),0,0,3 (30%),3 (30%),0,0,0,1 (10%),0,0,10,3 (30%)
[USP] Sua Mae,1 (6%),3 (19%),0,1 (6%),1 (6%),4 (25%),2 (13%),3 (19%),1 (6%),0,0,16,8 (50%)
[UFPEL] Suco de Laranja,2 (29%),0,0,1 (14%),1 (14%),0,0,2 (29%),1 (14%),0,0,7,5 (71%)
[IME] Sudo Reboot,1 (14%),0,2 (29%),1 (14%),0,0,0,2 (29%),1 (14%),0,0,7,4 (57%)
[UFES] Taiti,1 (25%),0,0,2 (50%),0,0,0,0,1 (25%),0,0,4,2 (50%)
[UECE] Tha Ali Jom,1 (8%),1 (8%),0,2 (17%),1 (8%),0,0,3 (25%),1 (8%),0,3 (25%),12,4 (33%)
[UFPE] Turing-indecisos,2 (13%),1 (7%),1 (7%),1 (7%),1 (7%),3 (20%),1 (7%),1 (7%),1 (7%),2 (13%),1 (7%),15,11 (73%)
[UnB] Turkeys,2 (33%),0,0,1 (17%),0,1 (17%),0,1 (17%),1 (17%),0,0,6,2 (33%)
[UEA] UEA_Coders,0,0,0,1 (50%),0,0,0,0,1 (50%),0,0,2,2 (100%)
[UFAM] UFAM-ICOMP-PowerPink,0,0,0,3 (60%),1 (20%),0,0,0,1 (20%),0,0,5,2 (40%)
[UFMG] UFMG Starters Edition,2 (11%),3 (17%),0,1 (6%),2 (11%),0,2 (11%),7 (39%),1 (6%),0,0,18,7 (39%)
[UFRGS] UFRGS AMT,3 (38%),0,0,1 (13%),0,0,0,3 (38%),1 (13%),0,0,8,2 (25%)
[UNIBALSAS] We are Exceptions,1 (25%),0,0,2 (50%),0,0,0,0,1 (25%),0,0,4,3 (75%)
[IFTM - Paracatu] Zeppelin,5 (63%),0,0,2 (25%),0,0,0,0,1 (13%),0,0,8,2 (25%)
[CAFE2] Cafe com Leite 2,1 (25%),0,0,1 (25%),1 (25%),0,0,0,1 (25%),0,0,4,3 (75%)
[CAFE3] Cafe com Leite 3,1 (4%),1 (4%),0,1 (4%),2 (7%),0,19 (70%),2 (7%),1 (4%),0,0,27,6 (22%)
[CAFE3] Cafe com Leite 4,6 (46%),0,0,1 (8%),0,0,0,0,1 (8%),0,5 (38%),13,3 (23%)
[CAFE3] Cafe com Leite 5,4 (40%),0,0,1 (10%),0,4 (40%),0,0,1 (10%),0,0,10,3 (30%)
Cafe com leite 1,1 (5%),1 (5%),1 (5%),1 (5%),1 (5%),1 (5%),3 (16%),3 (16%),1 (5%),5 (26%),1 (5%),19,13 (68%)
