0,1,2
Problems,Total,Accepted
A,44,2 (5%)
B,0,0
C,56,31 (55%)
D,57,49 (86%)
E,75,7 (9%)
F,7,4 (57%)
G,41,5 (12%)
H,56,49 (88%)
I,153,29 (19%)
J,55,7 (13%)
