0,1,2,3,4,5,6,7,8,9,10,11,12,13
[UFFS] The Morgans,1 (10%),1 (10%),2 (20%),0,0,0,4 (40%),1 (10%),1 (10%),0,0,10,5 (50%)
[UFES] TLE,1 (13%),3 (38%),0,0,0,0,0,3 (38%),0,0,1 (13%),8,3 (38%)
[UFV] To Bit or Not To Bit,1 (7%),4 (27%),3 (20%),0,0,0,0,7 (47%),0,0,0,15,1 (7%)
[UNIFESP] Trio de 11,2 (40%),0,2 (40%),0,0,0,0,1 (20%),0,0,0,5,2 (40%)
[UFMS] Tuiuiu,1 (17%),2 (33%),1 (17%),0,0,0,0,1 (17%),1 (17%),0,0,6,4 (67%)
[UEA] UEA_Coders,2 (33%),0,3 (50%),0,0,0,0,1 (17%),0,0,0,6,2 (33%)
[UFU] UFU Fighters,1 (10%),0,4 (40%),0,0,0,2 (20%),3 (30%),0,0,0,10,3 (30%)
[UFSCAR] um balao ta bao,1 (33%),0,0,0,0,0,0,2 (67%),0,0,0,3,1 (33%)
"[USP] Why Mr. Anderson, why?",1 (17%),0,1 (17%),0,0,1 (17%),1 (17%),1 (17%),1 (17%),0,0,6,6 (100%)
[IFTM] Zeppelin,1 (8%),0,10 (83%),0,0,0,0,1 (8%),0,0,0,12,1 (8%)
[IME] zuera++,1 (14%),1 (14%),1 (14%),1 (14%),0,0,1 (14%),1 (14%),1 (14%),0,0,7,6 (86%)
