ano,universidade,time,regiao
2013,UFG,Monkeys,Centro-Oeste
2013,UFPE,Não é só pelos 20 minutos,Nordeste
2013,UFPA,ClubeDosCanalhas,Norte
2013,USP-São Carlos,Ñtemtempabobagi,Sudeste
2013,UFPR,Ballong Misto de Trypanossoma,Sul
