ano,universidade,time,regiao
2015,UFG,11 balões e 3 segredos,Centro-Oeste
2015,UFPE,Turing Indecisos,Nordeste
2015,UFT, MyCoffeeSoft,Norte
2015,USP-São Carlos,Bob,Sudeste
2015,UFPel,Suco de Laranja,Sul
