ano,universidade,time,regiao
2012,UFG,Monkeys,Centro-Oeste
2012,UFPE,4 fun 2  win,Nordeste
2012,UNIR,TBK,Norte
2012,ITA,"jQuery bool, jQuery char!",Sudeste
2012,UTFPR,sudo make a sandwich,Sul
