ano,universidade,time,regiao
2016,UFG,Where are the monkeys,Centro-Oeste
2016,UFPE,0xE,Nordeste
2016,UFT,Valar Programmis,Norte
2016,Unicamp,Veni Vidi Codi,Sudeste
