ano,universidade,time,regiao
2017,UFG,Where are the monkeys,Centro-Oeste
2017,UFPE,ALT,Nordeste
2017,UEA,Wesley e os Safadões,Norte
2017,USP,"¯\_( ""/ )_/¯",Sudeste
2017,UNIOESTE-Cascavel,Ops! Solução Trivial,Sul
2017,UFG,Where are the monkeys,Centro-Oeste
2017,UFPE,ALT,Nordeste
2017,UEA,Wesley e os Safadões,Norte
2017,USP,"¯\_( ""/ )_/¯",Sudeste
2017,UNIOESTE-Cascavel,Ops! Solução Trivial,Sul
