0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
80,1,UFMG In rand() we trust!,21,H,C++,H.cpp,judged,juiz3 (1),YES
81,1,Coração das Cartas,21,H,C++,H.cpp,judged,juiz3 (1),YES
82,1,Grupo Gama,21,D,C,D.c,judged,juiz2 (1),YES
83,1,a; DROP TABLEuser; --,21,D,C++,D.cpp,judged,juiz3 (1),YES
84,1,Gargamels Team,22,H,C,h.c,judged,juiz2 (1),YES
85,1,while (c==8),23,H,C++,H.cpp,judged,juiz3 (1),NO - Wrong answer
86,1,Spanish Inquisition,23,D,C++,D.cpp,judged,juiz6 (1),YES
87,1,#include <RijeéL>,23,H,C++,H.cpp,judged,juiz2 (1),YES
88,1,Time do Feipa,24,H,C++,H.cpp,judged,juiz2 (1),YES
89,1,Stalingrafo,24,H,C++,H.cpp,judged,juiz2 (1),YES
90,1,char *alho;,24,D,C++,D.cpp,judged,juiz6 (1),NO - Wrong answer
91,1,DEBUG,24,H,C,H.c,judged,juiz3 (1),YES
92,1,Chinelada na Orelha,24,D,C++,d.cpp,judged,juiz2 (1),YES
93,1,Programação Orientada a Balões,25,D,C++,exd.cpp,judged,juiz6 (1),NO - Wrong answer
94,1,4 Fun 2 Win,25,H,C++,H.cpp,judged,juiz3 (1),YES
95,1,a; DROP TABLEuser; --,26,H,C++,H.cpp,judged,juiz2 (1),YES
96,1,Timelhosa,26,H,C++,H.cpp,judged,juiz6 (1),YES
97,1,ETROPUS,26,H,C,h.c,judged,juiz6 (1),YES
98,1,"jQuery bool, jQuery char!",26,I,C++,interval.cpp,judged,juiz6 (1),YES
99,1,Vruum,26,H,C++,h.cpp,judged,juiz6 (1),YES
100,1,UFMG Starters Edition,26,H,C++,h.cpp,judged,juiz6 (1),YES
101,1,Colecionadores de Balões,26,H,C++,hours.cpp,judged,juiz6 (1),YES
102,1,Os Cartolas,27,I,C++,i.cpp,judged,juiz2 (1),YES
103,1,I Can Haz Balloonz,27,I,C++,i.cpp,judged,juiz2 (1),YES
104,1,PiratasDoValeDoSãoFrancisco,27,D,C++,j.cpp,judged,juiz6 (1),YES
105,1,Já Chegou o Disco Voador,28,H,Java,H.java,judged,juiz3 (1),YES
106,1,4 Fun 2 Win,28,I,C++,I.cpp,judged,juiz2 (1),YES
107,1,TBK,29,D,C++,D.cpp,judged,juiz6 (1),YES
108,1,char *alho;,29,D,C++,D.cpp,judged,juiz3 (1),NO - Wrong answer
109,1,while (c==8),29,H,C++,H.cpp,judged,juiz3 (1),YES
110,1,PontoCPP,29,D,C++,d.cpp,judged,juiz2 (1),YES
111,1,Y U no accept?,29,H,C++,h.cpp,judged,juiz6 (1),NO - Wrong answer
112,1,MargarITA,30,I,C++,i.cpp,judged,juiz2 (1),YES
113,1,Unoeste WJR,30,D,C++,dd.cpp,judged,juiz2 (1),YES
114,1,PonteirosReversos,31,H,C++,h.cpp,judged,juiz2 (1),YES
115,1,Go Horse,31,D,Java,D.java,judged,juiz6 (1),YES
116,1,Monkeys,31,I,C++,I.cpp,judged,juiz2 (1),YES
