#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin
217994614,101,Veteranos Bolados,36,C,C++11,C.cpp,judged,teambrbr37 (101),NO - Wrong answer,0
218083515,101,#include __FILE__,36,C,C++11,c.cpp,judged,teambrbr35 (101),NO - Wrong answer,0
218732516,101,Trei Linha,37,C,C++11,C.cpp,judged,teambrbr55 (101),YES,1
219347017,101,stormtroop3rs [C],38,C,C++11,C.cpp,judged,teambrbr66 (101),YES,1
220025718,101,"¯\\_( ""/ )_/¯",40,J,C++11,J.cpp,judged,teambrbr44 (101),YES,1
220085019,101,Turkeys,40,C,C++11,C.cpp,judged,teambrbr42 (101),NO - Time limit exceeded,0
220299420,101,Choose difficulty: TITAN,40,E,C++11,E.cpp,judged,teambrbr3 (101),YES,1
220512621,101,dog hits dog,40,E,C++11,E.cpp,judged,judge10 (1),NO - Output format error,0
221291822,101,URI Luminatti,42,E,C++11,e.cpp,judged,teambrbr32 (101),YES,1
221360923,101,CalopsITA,42,E,C++11,E.cpp,judged,teambrbr56 (101),NO - Wrong answer,0
222516824,101,dog hits dog,44,E,C++11,E.cpp,judged,teambrbr69 (101),YES,1
222867625,101,Monkeys,44,E,C++11,E.cpp,judged,teambrbr53 (101),NO - Wrong answer,0
223477226,101,Wesley e os Safadões,45,C,C++11,c.cpp,judged,teambrbr4 (101),NO - Wrong answer,0
223483127,101,Ahozinho com Feijão,45,I,C++11,I.cpp,judged,teambrbr64 (101),YES,1
223644228,101,Lorem Ipsum,46,M,C++11,m.cpp,judged,teambrbr13 (101),NO - Wrong answer,0
224707729,101,Esse é meu time,47,B,C++11,b.cpp,judged,teambrbr29 (101),YES,1
225022530,101,ALT,48,J,C++11,j.cpp,judged,teambrbr12 (101),NO - Wrong answer,0
225173231,101,Ops! Solução Trivial,48,E,C++11,a.cpp,judged,teambrbr41 (101),YES,1
225364232,101,#include __FILE__,48,E,C++11,e.cpp,judged,teambrbr35 (101),NO - Wrong answer,0
225411933,101,Ginga com Tapioca,49,F,C++11,F.cpp,judged,teambrbr48 (101),NO - Wrong answer,0
225589334,101,Teorema de Offson,49,C,C++11,C.cpp,judged,teambrbr34 (101),YES,1
225601135,101,RALÔTIM,49,F,Java,F.java,judged,teambrbr47 (101),NO - Wrong answer,0
226585136,101,Trei Linha,50,I,C++11,I.cpp,judged,teambrbr55 (101),NO - Wrong answer,0
226735737,101,Cafeína Overflow,51,C,C++11,C.cpp,judged,judge10 (1),NO - Runtime error,0
227066138,101,Lorem Ipsum,51,C,C++11,c.cpp,judged,teambrbr13 (101),YES,1
227303239,101,O importante é não zerar!,52,C,C++11,C.cpp,judged,teambrbr19 (101),YES,1
228030540,101,Ginga com Tapioca,53,F,C++11,F.cpp,judged,teambrbr48 (101),YES,1
228770541,101,CEFETIM,54,F,Java,F.java,judged,teambrbr57 (101),NO - Wrong answer,0
229195042,101,Monkeys,55,E,C++11,E.cpp,judged,teambrbr53 (101),NO - Wrong answer,0
229340943,101,Bit Please,55,C,C++11,C.cpp,judged,teambrbr50 (101),YES,1
229474744,101,Nuclear Coders,55,C,C++11,c.cpp,judged,teambrbr72 (101),YES,1
229561145,101,Desistiu???,55,C,C++11,c.cpp,judged,teambrbr1 (101),YES,1
229616246,101,Gemidão da Maratona,56,C,C++11,c.cpp,judged,setter6 (1),NO - Runtime error,0
229727847,101,Traveling Balloonsmen,56,C,C++11,a.cpp,judged,teambrbr67 (101),YES,1
229884948,101,O Legado de Maldito,56,E,Python3,e.py,judged,teambrbr39 (101),NO - Wrong answer,0
229899149,101,RALÔTIM,56,F,Java,F.java,judged,teambrbr47 (101),NO - Wrong answer,0
230023050,101,Trei Linha,56,I,C++11,I.cpp,judged,teambrbr55 (101),NO - Wrong answer,0
230247151,101,Só queria fazer joguinho,57,C,C++11,C.cpp,judged,teambrbr63 (101),YES,1
230966652,101,Choose difficulty: TITAN,58,F,C++11,F.cpp,judged,teambrbr3 (101),YES,1
230984453,101,CEFETIM,58,C,Java,C.java,judged,teambrbr57 (101),YES,1
231204054,101,vai_na.sort(),58,C,C++11,c.cpp,judged,teambrbr22 (101),YES,1
231253155,101,BugBusters,58,C,C++11,c.cpp,judged,teambrbr58 (101),NO - Wrong answer,0
231387356,101,VDC,58,F,C++11,f.cpp,judged,teambrbr23 (101),YES,1
231691757,101,Array of Thrones,59,C,Java,C.java,judged,teambrbr65 (101),YES,1
232208458,101,stormtroop3rs [C],60,E,C++11,E.cpp,judged,teambrbr66 (101),YES,1
232535359,101,IRMÃO OLHO,60,H,Java,H.java,judged,setter5 (1),NO - Runtime error,0
232542860,101,Gemidão da Maratona,60,C,C++11,c.cpp,judged,teambrbr68 (101),YES,1
233162161,101,NUll TItle,61,E,Python3,E.py3,judged,teambrbr45 (101),NO - Wrong answer,0
233169262,101,Tô Nem Vendo,61,F,C++11,f.cpp,judged,teambrbr2 (101),NO - Time limit exceeded,0
233197663,101,Se juntas causa imagina juntas,61,I,C++11,I.cpp,judged,teambrbr61 (101),YES,1
233643064,101,Cafeína Overflow,62,C,C++11,C.cpp,judged,teambrbr27 (101),NO - Wrong answer,0
233803365,101,Turkeys,63,J,C++11,J.cpp,judged,teambrbr42 (101),YES,1
234341666,101,Skynet dos Pampas,63,C,C++11,C.cpp,judged,teambrbr6 (101),NO - Wrong answer,0
234403967,101,Trupe da Biologia,64,F,C++11,f.cpp,judged,teambrbr18 (101),YES,1
234485868,101,ALT,64,F,C++11,f.cpp,judged,teambrbr12 (101),NO - Wrong answer,0
234792369,101,100^o,64,C,C++11,c.cpp,judged,teambrbr40 (101),NO - Wrong answer,0
235154370,101,Over9k,65,C,C++11,C.cpp,judged,teambrbr49 (101),YES,1
235251571,101,YouShallNot.cpp,65,C,C++11,C.cpp,judged,teambrbr5 (101),NO - Wrong answer,0
235827972,101,while(1),66,C,C++11,C.cpp,judged,teambrbr15 (101),NO - Wrong answer,0
235983773,101,That Was Easy,66,C,C++11,C.cpp,judged,teambrbr62 (101),YES,1
236003174,101,Nuclear Coders,66,E,C++11,e.cpp,judged,teambrbr72 (101),YES,1
236072575,101,fuze,66,C,C++11,C.cpp,judged,teambrbr14 (101),NO - Wrong answer,0
236108876,101,Veteranos Bolados,66,C,C++11,C.cpp,judged,teambrbr37 (101),YES,1
236627777,101,Bira e seus craques,67,E,C++11,E.cpp,judged,teambrbr54 (101),NO - Wrong answer,0
237409078,101,Monkeys,69,F,C++11,F.cpp,judged,teambrbr53 (101),YES,1
237717579,101,ALT,69,J,C++11,j.cpp,judged,teambrbr12 (101),YES,1
237812380,101,stormtroop3rs [C],69,F,C++11,F.cpp,judged,teambrbr66 (101),NO - Time limit exceeded,0
237828581,101,Wesley e os Safadões,69,C,C++11,c.cpp,judged,teambrbr4 (101),NO - Wrong answer,0
237983782,101,BugBusters,69,C,C++11,c.cpp,judged,teambrbr58 (101),NO - Wrong answer,0
238027483,101,Ceferberus,70,C,C++11,c.cpp,judged,teambrbr8 (101),NO - Wrong answer,0
238147084,101,#include __FILE__,70,C,C++11,c2.cpp,judged,teambrbr35 (101),NO - Wrong answer,0
238538885,101,CalopsITA,70,C,C++11,C.cpp,judged,teambrbr56 (101),NO - Wrong answer,0
239686386,101,Veteranos Bolados,72,E,C++11,E.cpp,judged,teambrbr37 (101),YES,1
240180787,101,Teorema de Offson,73,I,C++11,I.cpp,judged,teambrbr34 (101),NO - Wrong answer,0
240346888,101,Time da Jaula,73,C,C++11,c2.cpp,judged,teambrbr25 (101),YES,1
240412389,101,Simone e Simara UFMA,74,D,C++11,D.cpp,judged,teambrbr9 (101),NO - Wrong answer,0
240623990,101,O Legado de Maldito,74,C,C++11,c.cpp,judged,teambrbr39 (101),NO - Wrong answer,0
240656191,101,Monkeys,74,E,C++11,E.cpp,judged,teambrbr53 (101),YES,1
241019692,101,Trei Linha,75,I,C++11,I.cpp,judged,teambrbr55 (101),YES,1
241101293,101,VDC,75,C,C++11,c.cpp,judged,teambrbr23 (101),YES,1
241115794,101,Lorem Ipsum,75,E,C++11,e.cpp,judged,teambrbr13 (101),NO - Wrong answer,0
241378795,101,aBNT Tigers,75,C,C++11,b.cpp,judged,teambrbr21 (101),NO - Wrong answer,0
241902896,101,fuze,76,C,C++11,C.cpp,judged,teambrbr14 (101),NO - Wrong answer,0
242299497,101,Six Balls,77,E,C++11,e.cpp,judged,teambrbr31 (101),YES,1
242335498,101,IRMÃO OLHO,77,H,Java,H.java,judged,judge5 (1),NO - Runtime error,0
242980499,101,CalopsITA,78,F,C++11,F.cpp,judged,teambrbr56 (101),NO - Wrong answer,0
243319700,101,"¯\\_( ""/ )_/¯",78,F,C++11,F.cpp,judged,teambrbr44 (101),NO - Wrong answer,0
243595701,101,stormtroop3rs [C],79,F,C++11,F.cpp,judged,setter6 (1),NO - Runtime error,0
243892702,101,Ginga com Tapioca,79,I,C++11,I.cpp,judged,teambrbr48 (101),YES,1
244689303,101,YouShallNot.cpp,81,C,C++11,C.cpp,judged,teambrbr5 (101),NO - Wrong answer,0
244953704,101,UNESP Bauru,81,C,C++11,c.cpp,judged,teambrbr11 (101),NO - Wrong answer,0
245001405,101,dog hits dog,81,F,C++11,F.cpp,judged,teambrbr69 (101),NO - Wrong answer,0
245087706,101,Choose difficulty: TITAN,81,I,C++11,I.cpp,judged,teambrbr3 (101),YES,1
245388507,101,Lorem Ipsum,82,E,C++11,e.cpp,judged,teambrbr13 (101),YES,1
245619208,101,CalopsITA,82,E,C++11,E.cpp,judged,teambrbr56 (101),YES,1
245916009,101,aBNT Tigers,83,C,C++11,C.cpp,judged,teambrbr21 (101),NO - Wrong answer,0
245971510,101,Skynet dos Pampas,83,C,C++11,C.cpp,judged,teambrbr6 (101),YES,1
246166611,101,Teorema de Offson,83,I,C++11,I.cpp,judged,teambrbr34 (101),NO - Time limit exceeded,0
246936412,101,Esse é meu time,84,E,C++11,e.cpp,judged,teambrbr29 (101),NO - Wrong answer,0
247047613,101,while(1),85,F,C++11,F.cpp,judged,teambrbr15 (101),NO - Wrong answer,0
247109114,101,Ops! Solução Trivial,85,I,C++11,a.cpp,judged,setter10 (1),NO - Runtime error,0
247155615,101,Se juntas causa imagina juntas,85,F,C++11,F.cpp,judged,teambrbr61 (101),NO - Wrong answer,0
247423516,101,Ceferberus,85,C,C++11,c.cpp,judged,teambrbr8 (101),NO - Wrong answer,0
247510517,101,Trei Linha,85,F,C++11,F.cpp,judged,teambrbr55 (101),YES,1
247603618,101,Trupe da Biologia,86,I,C++11,i.cpp,judged,teambrbr18 (101),YES,1
247607119,101,100^o,86,C,C++11,c.cpp,judged,teambrbr40 (101),NO - Wrong answer,0
248353020,101,stormtroop3rs [C],87,F,C++11,F.cpp,judged,teambrbr66 (101),NO - Wrong answer,0
248433621,101,bit please;,87,C,C++11,C.cpp,judged,teambrbr71 (101),NO - Wrong answer,0
248436422,101,IRMÃO OLHO,87,H,Java,H.java,judged,setter6 (1),NO - Runtime error,0
248481223,101,Nome Provisório,87,C,C++11,C.cpp,judged,teambrbr38 (101),NO - Wrong answer,0
248944224,101,"¯\\_( ""/ )_/¯",88,I,C++11,I.cpp,judged,teambrbr44 (101),YES,1
249444425,101,D_bug,89,C,C++11,C.cxx,judged,setter6 (1),NO - Runtime error,0
249782526,101,C ilá,89,F,C++11,F.cpp,judged,teambrbr16 (101),NO - Wrong answer,0
249821527,101,dog hits dog,89,J,C++11,J.cpp,judged,teambrbr69 (101),NO - Wrong answer,0
250155228,101,Access Violation,90,C,C++11,C.cpp,judged,teambrbr52 (101),YES,1
250483829,101,CalopsITA,90,C,C++11,C2.cpp,judged,teambrbr56 (101),NO - Wrong answer,0
250520130,101,Esse é meu time,90,E,C++11,e.cpp,judged,teambrbr29 (101),YES,1
250542931,101,fuze,90,C,C++11,C.cpp,judged,teambrbr14 (101),NO - Wrong answer,0
250601532,101,Teorema de Offson,91,I,C++11,I.cpp,judged,teambrbr34 (101),YES,1
250754633,101,Simone e Simara UFMA,91,C,C++11,C.cpp,judged,teambrbr9 (101),YES,1
250797234,101,100^o,91,C,C++11,c.cpp,judged,teambrbr40 (101),NO - Wrong answer,0
250933835,101,Ops! Solução Trivial,91,I,C++11,a.cpp,judged,teambrbr41 (101),YES,1
251039436,101,Cafeína Overflow,91,C,C++11,C.cpp,judged,teambrbr27 (101),NO - Wrong answer,0
251583937,101,ALT,92,I,C++11,i.cpp,judged,teambrbr12 (101),NO - Wrong answer,0
251647038,101,#include __FILE__,92,C,C++11,c2.cpp,judged,teambrbr35 (101),NO - Wrong answer,0
251708739,101,Ginga com Tapioca,92,J,C++11,J.cpp,judged,teambrbr48 (101),YES,1
252814940,101,dog hits dog,94,F,C++11,F.cpp,judged,teambrbr69 (101),YES,1
252870341,101,while(1),94,C,C++11,C.cpp,judged,teambrbr15 (101),NO - Wrong answer,0
253085842,101,D_bug,95,C,C++11,C.cxx,judged,teambrbr28 (101),NO - Wrong answer,0
253219343,101,"¯\\_( ""/ )_/¯",95,F,C++11,F.cpp,judged,teambrbr44 (101),YES,1
253562144,101,BugBusters,95,C,C++11,c.cpp,judged,teambrbr58 (101),YES,1
253625045,101,URI Luminatti,96,F,C++11,f.cpp,judged,teambrbr32 (101),NO - Wrong answer,0
253809846,101,Cvaicomnois kazuya,96,C,C++11,C2.cpp,judged,teambrbr51 (101),YES,1
254029947,101,Ahozinho com Feijão,96,E,C++11,E.cpp,judged,teambrbr64 (101),NO - Wrong answer,0
254032248,101,Se juntas causa imagina juntas,96,F,C++11,F.cpp,judged,teambrbr61 (101),NO - Wrong answer,0
254125349,101,CalopsITA,96,F,C++11,F.cpp,judged,teambrbr56 (101),NO - Wrong answer,0
254896550,101,Gemidão da Maratona,98,F,C++11,f.cpp,judged,teambrbr68 (101),NO - Wrong answer,0
255151851,101,ALT,98,F,C++11,f.cpp,judged,teambrbr12 (101),YES,1
255627352,101,fuze,99,C,C++11,C.cpp,judged,teambrbr14 (101),YES,1
255688453,101,CalopsITA,99,C,C++11,C2.cpp,judged,teambrbr56 (101),YES,1
255815554,101,"One balloon at a time, please!",99,C,C++11,c.cpp,judged,teambrbr46 (101),YES,1
255844355,101,Cafeína Overflow,99,C,C++11,C.cpp,judged,teambrbr27 (101),NO - Wrong answer,0
256181656,101,#include __FILE__,100,I,C++11,i.cc,judged,teambrbr35 (101),NO - Time limit exceeded,0
256209157,101,Turkeys,100,C,C++11,C.cpp,judged,teambrbr42 (101),NO - Wrong answer,0
256280458,101,Turkeys,100,C,C++11,C2.cpp,judged,teambrbr42 (101),NO - Wrong answer,0
256291859,101,D_bug,100,C,C++11,C.cxx,judged,teambrbr28 (101),NO - Wrong answer,0
256491760,101,That Was Easy,100,L,C++11,L.cpp,judged,teambrbr62 (101),NO - Wrong answer,0
256508561,101,UNESP Bauru,100,C,C++11,c.cpp,judged,teambrbr11 (101),NO - Wrong answer,0
256732162,101,aBNT Tigers,101,C,C++11,C.cpp,judged,teambrbr21 (101),NO - Wrong answer,0
257385063,101,Gemidão da Maratona,102,F,C++11,f.cpp,judged,judge10 (1),NO - Compilation error,0
257567764,101,URI Luminatti,102,F,C++11,f.cpp,judged,teambrbr32 (101),NO - Wrong answer,0
257791565,101,100^o,102,C,C++11,c.cpp,judged,teambrbr40 (101),NO - Wrong answer,0
258291866,101,dog hits dog,103,J,C++11,J.cpp,judged,teambrbr69 (101),NO - Wrong answer,0
258423067,101,IRMÃO OLHO,104,H,Java,H.java,judged,teambrbr24 (101),YES,1
258531168,101,C-3PO,104,C,C++11,c.cpp,judged,judge10 (1),NO - Runtime error,0
259246469,101,bit please;,105,C,C++11,C.cpp,judged,teambrbr71 (101),YES,1
259770670,101,Gemidão da Maratona,106,F,C++11,f.cpp,judged,teambrbr68 (101),NO - Wrong answer,0
259890671,101,Turkeys,106,C,C++11,C2.cpp,judged,teambrbr42 (101),YES,1
260324272,101,"¯\\_( ""/ )_/¯",107,G,C++11,G.cpp,judged,teambrbr44 (101),YES,1
260696873,101,80km é 80km @do,107,C,C++11,C.cpp,judged,teambrbr60 (101),NO - Wrong answer,0
261064974,101,URI Luminatti,108,F,C++11,f.cpp,judged,teambrbr32 (101),NO - Wrong answer,0
261203175,101,Ceferberus,108,C,C++11,c.cpp,judged,teambrbr8 (101),NO - Wrong answer,0
261482776,101,Trei Linha,109,J,C++11,j.cpp,judged,teambrbr55 (101),YES,1
261696477,101,Choose difficulty: TITAN,109,J,C++11,J.cpp,judged,teambrbr3 (101),YES,1
261947278,101,CEFETIM,109,F,Java,F.java,judged,teambrbr57 (101),NO - Time limit exceeded,0
262312379,101,ALT,110,I,C++11,i.cpp,judged,teambrbr12 (101),NO - Wrong answer,0
262471480,101,Se juntas causa imagina juntas,110,F,C++11,F.cpp,judged,teambrbr61 (101),YES,1
263058781,101,D_bug,111,C,C++11,C.cxx,judged,teambrbr28 (101),NO - Wrong answer,0
263097982,101,Veteranos Bolados,111,I,C++11,I.cpp,judged,judgefinal2 (1),NO - Runtime error,0
