0,1,2
Problems,Total,Accepted
A,3,1 (33%)
B,41,16 (39%)
C,166,60 (36%)
D,25,5 (20%)
E,70,25 (36%)
F,98,24 (24%)
G,29,14 (48%)
H,76,72 (95%)
I,100,30 (30%)
J,71,23 (32%)
K,0,0
L,2,1 (50%)
M,35,11 (31%)
