Problems x Languages,C,C++,Java,Total
A,0,5,7,12
B,0,0,0,0
C,15,79,3,97
D,15,21,5,41
E,0,25,3,28
F,9,48,0,57
G,12,78,0,90
H,21,42,11,74
I,7,58,6,71
J,0,4,0,4
