universidade,sigla,estado
FACULDADE DA ALTA PAULISTA,FAP,SP
FACULDADE DA AMAZÔNIA OCIDENTAL,FAAO,AC
FACULDADE DA AMAZÔNIA,FAMA,RO
FACULDADE DA CIDADE DE MACEIÓ,FACIMA,AL
FACULDADE DA CIDADE DE SANTA LUZIA,FACSAL,MG
FACULDADE DA ESCADA,FAESC,PE
FACULDADE DA REGIÃO DOS LAGOS,FERLAGOS,RJ
FACULDADE DA REGIÃO SERRANA,FARESE,ES
FACULDADE DA SAÚDE E ECOLOGIA HUMANA,FASEH,MG
FACULDADE DA SERRA GAÚCHA,FSG,RS
FACULDADE DA SERRA,FASE,ES
FACULDADE DA SEUNE,SEUNE,AL
FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ,FADIC,PE
FACULDADE DAMÁSIO,FD,SP
FACULDADE DARCY RIBEIRO,FADR,CE
FACULDADE DAS AMÉRICAS,FAM,SP
FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA,FAETE,PI
FACULDADE DAS ÁGUAS EMENDADAS - FAE,FAE,DF
FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ,FACEAG,SP
FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS EDUCAÇÃO E LETRAS,FACEL,PR
FACULDADE DE ADMINISTRAÇÃO DA ASSOCIAÇÃO BRASILIENSE DE EDUCAÇÃO,FABE,RS
FACULDADE DE ADMINISTRAÇÃO DA FESPSP,FADFESPSP,SP
FACULDADE DE ADMINISTRAÇÃO DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FAE-FAAP,SP
FACULDADE DE ADMINISTRAÇÃO DE CAMPO BELO,FACAMP,MG
FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES,UNIPACAT,MG
FACULDADE DE ADMINISTRAÇÃO DE CHAPADÃO DO SUL,FACHASUL,MS
FACULDADE DE ADMINISTRAÇÃO DE GOVERNADOR VALADARES,FAGV,MG
FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO,FAI,MG
FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA,FANOVA,MS
FACULDADE DE ADMINISTRAÇÃO DE PASSOS,FAP,MG
FACULDADE DE ADMINISTRAÇÃO DE SANTA CRUZ DO RIO PARDO,FASC,SP
FACULDADE DE ADMINISTRAÇÃO DE SÃO JOSÉ DO RIO PRETO,FACMIL,SP
FACULDADE DE ADMINISTRAÇÃO DE TERESINA,FAT,PI
FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,SP
FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE SÃO ROQUE,FACCSR,SP
FACULDADE DE ADMINISTRAÇÃO E INFORMÁTICA PAULISTA,FIAP,SP
FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE,FANESE,SE
FACULDADE DE AGRONEGÓCIO PARAÍSO DO NORTE,FAPAN,PR
FACULDADE DE AGRONOMIA E ENGENHARIA FLORESTAL DE GARÇA,FAEF,SP
FACULDADE DE AGUDOS,FAAG,SP
FACULDADE DE ALMENARA,ALFA,MG
FACULDADE DE ALTA FLORESTA,FAF,MT
FACULDADE DE AMAMBAI,FIAMA,MS
FACULDADE DE AMERICANA,FAM,SP
FACULDADE DE AMPÉRE,FAMPER,PR
FACULDADE DE APUCARANA,FAP,PR
FACULDADE DE ARACAJU,FACAR,SE
FACULDADE DE ARACRUZ,FAACZ,ES
FACULDADE DE ARARAQUARA,FARA,SP
FACULDADE DE ARQUITETURA E URBANISMO DE PERNAMBUCO,FAUPE,PE
FACULDADE DE ARTES CIÊNCIAS E TECNOLOGIAS,FACET ,BA
FACULDADE DE ARTES DO PARANÁ,FAP,PR
FACULDADE DE ARUJÁ,FAR,SP
FACULDADE DE AURIFLAMA,FAU,SP
FACULDADE DE BALSAS,UNIBALSAS,MA
FACULDADE DE BELFORD ROXO,FABEL,RJ
FACULDADE DE BELÉM,FABEL,PA
FACULDADE DE CAFELÂNDIA,FAC,PR
FACULDADE DE CALDAS NOVAS,UNICALDAS,GO
FACULDADE DE CAMPINA GRANDE DO SUL,FACSUL,PR
FACULDADE DE CAMPO LIMPO PAULISTA,FACCAMP,SP
FACULDADE DE CARIACICA,FAC DE CARIACICA,ES
FACULDADE DE CASTANHAL,FCAT,PA
FACULDADE DE CASTELO,FACASTELO,ES
FACULDADE DE CERES,FACERES,GO
FACULDADE DE CIENCIAS HUMANAS E SOCIAIS DE SERRA TALHADA,FACHUSST,PE
FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ,FACEC,ES
FACULDADE DE CIÊNCIA E TECNOLOGIA DE CARUARU,FACITEC,PE
FACULDADE DE CIÊNCIA E TECNOLOGIA DO PLANALTO CENTRAL,FACIPLAC,DF
FACULDADE DE CIÊNCIA E TECNOLOGIA,ÁREA1,TO
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,SP
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA,FACIAGRA,PE
FACULDADE DE CIÊNCIAS AGRÁRIAS E DA SAÚDE,FAS,BA
FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE,FCAE,MT
FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO,Fals,CE
FACULDADE DE CIÊNCIAS APLICADAS E SOCIAIS DE PETROLINA,FACAPE,PE
FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL,FACIMED,RO
FACULDADE DE CIÊNCIAS BIOMÉDICAS DO ESPÍRITO SANTO,PIO XII - BIO,ES
FACULDADE DE CIÊNCIAS CONTABEIS DE DIVINÓPOLIS,FACED,MG
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITAPETININGA,FCCI,SP
FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN,FACINAN,MS
FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE,FACCOR,PE
FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM,FACCACI,ES
FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA,AJES,MT
FACULDADE DE CIÊNCIAS CONTÁBEIS LUIZ MENDES,LUMEN FACULDADES,PB
FACULDADE DE CIÊNCIAS CULTURA E EXTENSÃO DO RN,Facex,RN
FACULDADE DE CIÊNCIAS DA ADMINISTRAÇÃO DE GARANHUNS,FAGA,PE
FACULDADE DE CIÊNCIAS DA ADMINISTRAÇÃO DE PERNAMBUCO,FCAP,PE
FACULDADE DE CIÊNCIAS DA ADMINISTRAÇÃO DO LIMOEIRO,FACAL,PE
FACULDADE DE CIÊNCIAS DA BAHIA,FACIBA,BA
FACULDADE DE CIÊNCIAS DA SAÚDE ARCHIMEDES THEODORO,FAC - SAUDE ARTHE,MG
FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,FCSB,SP
FACULDADE DE CIÊNCIAS DA SAÚDE DE CAMPOS GERAIS,FACICA,MG
FACULDADE DE CIÊNCIAS DE GUARULHOS,FACIG,SP
FACULDADE DE CIÊNCIAS DE RUBIATABA,FACER,GO
FACULDADE DE CIÊNCIAS DE TIMBAÚBA,FACET,PE
FACULDADE DE CIÊNCIAS DE WENCESLAU BRAZ,FACIBRA,PR
FACULDADE DE CIÊNCIAS DO TOCANTINS,FACIT,TO
FACULDADE DE CIÊNCIAS E CULTURA DA BAHIA,FCCB,BA
FACULDADE DE CIÊNCIAS E CULTURA DE CAJAZEIRAS,FCCC,BA
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,FACESA,GO
FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,SP
FACULDADE DE CIÊNCIAS E SAÚDE DE SERRA TALHADA,FACISST,PE
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI,FATEB,SP
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ,FACTU,MG
FACULDADE DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO,FACEMA,MA
FACULDADE DE CIÊNCIAS ECONÔMICAS ADMINISTRATIVAS E CONTÁBEIS DE DIVINÓPOLIS,FACED,MG
FACULDADE DE CIÊNCIAS ECONÔMICAS ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO,FCEACDB,RJ
FACULDADE DE CIÊNCIAS ECONÔMICAS DA REGIÃO CARBONÍFERA,FACIERC,SC
FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO,FCETM,MG
FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS SANTA RITA DE CÁSSIA,FACEAS,SP
FACULDADE DE CIÊNCIAS ECONÔMICAS,FACAMP,SP
FACULDADE DE CIÊNCIAS EDUCACIONAIS DE CAPIM GROSSO,FCG,BA
FACULDADE DE CIÊNCIAS EDUCACIONAIS E SISTEMAS INTEGRADOS,FACESI,PR
FACULDADE DE CIÊNCIAS EDUCAÇÃO E TECNOLOGIA DE GARANHUNS,FACETEG,PE
FACULDADE DE CIÊNCIAS EDUCAÇÃO E TEOLOGIA DO NORTE DO BRASIL,FACETEN,RR
FACULDADE DE CIÊNCIAS EMPRESARIAIS,FACEMP,BA
FACULDADE DE CIÊNCIAS EXATAS E HUMANAS DA CAMPANHA,FCCP,MG
FACULDADE DE CIÊNCIAS EXATAS E TECNOLÓGICAS SANTO AGOSTINHO - FACET,FACET,MG
FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES,FACE - ALFOR,MG
FACULDADE DE CIÊNCIAS GERENCIAIS BARÃO DE JUNDIAÍ,FCG,SP
FACULDADE DE CIÊNCIAS GERENCIAIS DA BAHIA,UNICENID,BA
FACULDADE DE CIÊNCIAS GERENCIAIS DE MANHUAÇU,FACIG,MG
FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO,CESG,MG
FACULDADE DE CIÊNCIAS GERENCIAIS E EMPREENDEDORISMO - FACIGE,FACIGE,MG
FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN,FAJANSSEN,MG
FACULDADE DE CIÊNCIAS HUMANAS DE CRUZEIRO,FACIC,SP
FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,PE
FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO,FCHPE,PE
FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL,FACHUSC,PE
FACULDADE DE CIÊNCIAS HUMANAS DO VALE DO RIO GRANDE,FCHVRG,SP
FACULDADE DE CIÊNCIAS HUMANAS E BIOLÓGICAS E DA SAÚDE,FCHBS,MT
FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO,FACESF,PE
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO,FACHUCA,PE
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE ARARIPINA,FACISA,PE
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE IGARASSU,FACIG,PE
FACULDADE DE CIÊNCIAS HUMANAS ECONÔMICAS E DA SAÚDE DE ARAGUAÍNA,FAHESA / ITPAC,TO
FACULDADE DE CIÊNCIAS HUMANAS ESUDA,FCHE,PE
FACULDADE DE CIÊNCIAS HUMANAS EXATAS E LETRAS DE RONDÔNIA,FARO,RO
FACULDADE DE CIÊNCIAS JURÍDICAS DE ALAGOAS,FCJAL,AL
FACULDADE DE CIÊNCIAS JURÍDICAS DE PARAÍSO DO TOCANTINS,FCJP,TO
FACULDADE DE CIÊNCIAS JURÍDICAS DE SANTOS DUMONT,FCJSD,MG
FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE GARÇA,FAEG,SP
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE,FCJSA,MT
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA,FACULDADES CATHEDRAL,MT
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS DE MACEIÓ,FAMA,AL
FACULDADE DE CIÊNCIAS JURÍDICAS PROFESSOR ALBERTO DEODATO,FCJPAD,MG
FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,SP
FACULDADE DE CIÊNCIAS MÉDICAS DE CAMPINA GRANDE,FCM,PB
FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,MG
FACULDADE DE CIÊNCIAS MÉDICAS DE PERNAMBUCO,FCM,PE
FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,FCMS/JF,MG
FACULDADE DE CIÊNCIAS MÉDICAS E PARAMÉDICAS FLUMINENSE,SEFLU,RJ
FACULDADE DE CIÊNCIAS SAÚDE EXATAS E JURÍDICAS DE TERESINA,FACULDADE CEUT,PI
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS,FACESM,MG
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,MT
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS E DE TECNOLOGIAS DE AGUA BOA,FACESA,MT
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,FACISA,PB
FACULDADE DE CIÊNCIAS SOCIAIS DE FLORIANÓPOLIS,FCSF,SC
FACULDADE DE CIÊNCIAS SOCIAIS DE GUARANTÃ DO NORTE,FCSGN,MT
FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES,FACIP,PE
FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,FAIT,SP
FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,FAIESP,MT
FACULDADE DE CIÊNCIAS SOCIAIS E TECNOLÓGICAS,FACITEC,DF
FACULDADE DE CIÊNCIAS TECNOLÓGICAS DE FORTALEZA,FCTFOR,CE
FACULDADE DE COLIDER,FACIDER,MT
FACULDADE DE COMPUTAÇÃO DE MONTES CLAROS,FACOMP,MG
FACULDADE DE COMPUTAÇÃO E INFORMÁTICA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FCI-FAAP,SP
FACULDADE DE COMUNICAÇÃO E MARKETING DA - FUNDAÇÃO ARMANDO ÁLVARES PENTEADO,FACOM-FAAP,SP
FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA,FACOTTUR,PE
FACULDADE DE COMUNICAÇÃO PITÁGORAS UNIDADE GUARAPARI,PIT GUARAPARI,ES
FACULDADE DE COMUNICAÇÃO SOCIAL DE PASSOS,FACOMP,MG
FACULDADE DE DESENVOLVIMENTO DO RIO GRANDE DO SUL,FADERGS,RS
FACULDADE DE DESENVOLVIMENTO E INTEGRAÇÃO REGIONAL,FADIRE,PE
FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL,IEVAL,AC
FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM,FDCI,ES
FACULDADE DE DIREITO DE CARUARU,FADICA,PE
FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,MG
FACULDADE DE DIREITO DE FRANCA,FDF,SP
FACULDADE DE DIREITO DE GARANHUNS,FDG,PE
FACULDADE DE DIREITO DE IPATINGA,FADIPA,MG
FACULDADE DE DIREITO DE ITÚ,FADITU,SP
FACULDADE DE DIREITO DE SANTA MARIA,FADISMA,RS
FACULDADE DE DIREITO DE SOROCABA,FADI,SP
FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,SP
FACULDADE DE DIREITO DE TANGARÁ DA SERRA,UNIC,MT
FACULDADE DE DIREITO DE VARGINHA - FADIVA,FADIVA,MG
FACULDADE DE DIREITO DO SUL DE MINAS,FDSM,MG
FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,MG
FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE,FADILESTE,MG
FACULDADE DE DIREITO FRANCISCO BELTRÃO,CESUL,PR
FACULDADE DE DIREITO MILTON CAMPOS,FDMC,MG
FACULDADE DE DIREITO PADRE ARNALDO JANSSEN,FAJANSSEN,MG
FACULDADE DE DIREITO UNIDADE GUARAPARI,FADIG,ES
FACULDADE DE DUQUE DE CAXIAS,FDC,RJ
FACULDADE DE ECONOMIA E FINANÇAS DO RIO DE JANEIRO,FEFRJ,RJ
FACULDADE DE ECONOMIA E FINANÇAS IBMEC,FACULDADES IBMEC,RJ
FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU,FEPI,PR
FACULDADE DE EDUCAÇÃO ADMINISTRAÇÃO E TECNOLOGIA DE IBAITI,FEATI,PR
FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL,FAECA DOM BOSCO,SP
FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO,FECIPAR,TO
FACULDADE DE EDUCAÇÃO DE ASSIS,FAEDA,SP
FACULDADE DE EDUCAÇÃO DE BACABAL - FEBAC,FEBAC,MA
FACULDADE DE EDUCAÇÃO DE BOM DESPACHO,FACEB,MG
FACULDADE DE EDUCAÇÃO DE COLORADO DO OESTE,FAEC,RO
FACULDADE DE EDUCAÇÃO DE COSTA RICA,FECRA,MS
FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ,FACEG,SP
FACULDADE DE EDUCAÇÃO DE JARU,UNICENTRO,RO
FACULDADE DE EDUCAÇÃO DE NOVA ANDRADINA,FENA,MS
FACULDADE DE EDUCAÇÃO DE PORTO VELHO,UNIRON,RO
FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SÃO PAULO,FECG-SP,SP
FACULDADE DE EDUCAÇÃO E CIÊNCIAS HUMANAS DE ANICUNS,FECHA,GO
FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA,FAEV/UNESC,RO
FACULDADE DE EDUCAÇÃO E ESTUDOS SOCIAIS DE GOVERNADOR VALADARES,FUNEES G. Valadares,MG
FACULDADE DE EDUCAÇÃO E ESTUDOS SOCIAIS DE UBERLÂNDIA,FUNEES Uberlândia,MG
FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE,FAEMA,RO
FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA,FEFISO,SP
FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA,FAEFI,SP
FACULDADE DE EDUCAÇÃO REGIONAL SERRANA,FUNPAC,ES
FACULDADE DE EDUCAÇÃO SUPERIOR DE TIMBAÚBA,FAEST,PE
FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ,FESPPR,PR
FACULDADE DE EDUCAÇÃO SÃO FRANCISCO,FAESF,MA
FACULDADE DE EDUCAÇÃO SÃO LUÍS,FESL,SP
FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,FAETERJ PARACAMBI,RJ
FACULDADE DE EDUCAÇÃO,ISECUB,ES
FACULDADE DE ENFERMAGEM DE BELO JARDIM,FAEB,PE
FACULDADE DE ENFERMAGEM DE PASSOS,FAENPA,MG
FACULDADE DE ENFERMAGEM E MEDICINA NOVA ESPERANÇA DE MOSSORÓ,Facene,RN
FACULDADE DE ENFERMAGEM LUIZA DE MARILLAC,FELM,RJ
FACULDADE DE ENFERMAGEM NOSSA SENHORA DAS GRAÇAS,FENSG,PE
FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,FACENE,PB
FACULDADE DE ENFERMAGEM SÃO VICENTE DE PAULA,FESVIP,PB
FACULDADE DE ENGENHARIA DE MINAS GERAIS,FEMG,MG
FACULDADE DE ENGENHARIA DE PASSOS,FEP,MG
FACULDADE DE ENGENHARIA DE RESENDE,FER,RJ
FACULDADE DE ENGENHARIA DE SOROCABA,FACENS,SP
FACULDADE DE ENGENHARIA SOUZA MARQUES,FESM,RJ
FACULDADE DE ENGENHARIA SÃO PAULO,FESP,SP
FACULDADE DE ENSINO E CULTURA DO CEARÁ,FAECE,CE
FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA,FESAM,AP
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,FAESF/UNEF,BA
FACULDADE DE ENSINO SUPERIOR DA PARAÍBA,FESP,PB
FACULDADE DE ENSINO SUPERIOR DE FLORIANO,FAESF,PI
FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON,ISEPE RONDON,PR
FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU,FAESI,PR
FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA,FAIP,SP
FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL,FAEF,SP
FACULDADE DE ENSINO SUPERIOR SANTA BARBARA,FAESB,SP
FACULDADE DE ENSINO TECNOLÓGICO DO ESTADO DO PARÁ,FACETE,PA
FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS,FEAD,MG
FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ,FEAPA,PA
FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA,FESAV,ES
FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,PIO XII,ES
FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,MG
FACULDADE DE EXCELÊNCIA DO RIO GRANDE DO NORTE,Fatern Gama Filho,RN
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,ES
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU,FAFICA,PE
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE IBITINGA,FAIBI,SP
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,SP
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS NOSSA SENHORA APARECIDA,FNSA,SP
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES,FFCLSM,RJ
FACULDADE DE FILOSOFIA DE PASSOS,FAFIPA,MG
FACULDADE DE FILOSOFIA E CIÊNCIAS HUMANAS DE GOIATUBA,FAFICH,GO
FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI,FFTP,SP
FACULDADE DE FILOSOFIA SANTA DOROTEIA,FFSD,RJ
FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE AFOGADOS DA INGAZEIRA,FAFOPAI,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA,FAFOPA,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE BELO JARDIM,FABEJA,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE GOIANA,FFPG,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE NAZARÉ DA MATA,FFPNM,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE PETROLINA,Faculdade de Formação de Professores de Petrolina,PE
FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA,FAFOPST,PE
FACULDADE DE FORTALEZA,FAFOR,CE
FACULDADE DE GETÚLIO VARGAS,FACULDADE IDEAU,RS
FACULDADE DE GOIÂNIA - UNIDADE 1,FAG,GO
FACULDADE DE GUANAMBI,FG,BA
FACULDADE DE ILHA SOLTEIRA,FAISA,SP
FACULDADE DE IMPERATRIZ,FACIMP,MA
FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE,FIOURO,RO
FACULDADE DE INFORMÁTICA DE PASSOS,FIP,MG
FACULDADE DE INFORMÁTICA DO RECIFE,FACIR,PE
FACULDADE DE INFORMÁTICA LEMOS DE CASTRO,FILC,RJ
FACULDADE DE INHUMAS - FAC-MAIS,FACMAIS,GO
FACULDADE DE INTEGRAÇÃO DO SERTÃO,FIS,PE
FACULDADE DE IPORÁ,FAI,GO
FACULDADE DE ITAITUBA,FAI,PA
FACULDADE DE ITAPECERICA DA SERRA,FIT,SP
FACULDADE DE ITAPIRANGA,SEI/FAI,SC
FACULDADE DE ITÁPOLIS - FACITA,FACITA,SP
FACULDADE DE JABOTICABAL,FAJAB,SP
FACULDADE DE JAGUARIÚNA,FAJ,SP
FACULDADE DE JANDAIA DO SUL,FAFIJAN,PR
FACULDADE DE JOSÉ BONIFÁCIO,FJB,SP
FACULDADE DE JUAZEIRO DO NORTE,FJN,CE
FACULDADE DE JUNQUEIRÓPOLIS,ISEJ,SP
FACULDADE DE JUSSARA,FAJ,GO
FACULDADE DE MACAPÁ,FAMA,AP
FACULDADE DE MEDICINA DE BARBACENA,FUNJOB,MG
FACULDADE DE MEDICINA DE CAMPOS,FMC,RJ
FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,MG
FACULDADE DE MEDICINA DE JUAZEIRO DO NORTE,FMJ,CE
FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,SP
FACULDADE DE MEDICINA DE MARÍLIA,FAMEMA,SP
FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,RJ
FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,SP
FACULDADE DE MEDICINA DO ABC,FMABC,SP
FACULDADE DE MINAS,FAMINAS,MG
FACULDADE DE MIRANDÓPOLIS,FAM,SP
FACULDADE DE MODA DE PASSOS,FAMOPA,MG
FACULDADE DE MONTE ALTO,FMA,SP
FACULDADE DE MÚSICA DO ESPÍRITO SANTO,FAMES,ES
FACULDADE DE NANUQUE,FANAN,MG
FACULDADE DE NATAL,FAL,RN
FACULDADE DE NOVA SERRANA,FANS,MG
FACULDADE DE NUTRIÇÃO DA FUNDAÇÃO DE ENSINO SUPERIOR DE PASSOS,FANUTRI,MG
FACULDADE DE ODONTOLOGIA DE CARUARU,FOC,PE
FACULDADE DE ODONTOLOGIA DE MANAUS,Fom,AM
FACULDADE DE ODONTOLOGIA DE PERNAMBUCO,FOP,PE
FACULDADE DE ODONTOLOGIA DO RECIFE,FOR,PE
FACULDADE DE ODONTOLOGIA E CENTRO DE PESQUISAS ODONTOLÓGICAS SÃO LEOPOLDO MANDIC,SLMANDIC,SP
FACULDADE DE OLINDA,FOCCA,PE
FACULDADE DE ORLÂNDIA,FAO,SP
FACULDADE DE PALMAS,FAPAL,TO
FACULDADE DE PATO BRANCO,FADEP,PR
FACULDADE DE PAULÍNIA,FACP,SP
FACULDADE DE PEDAGOGIA,ANAEC,MS
FACULDADE DE PIMENTA BUENO,FAP,RO
FACULDADE DE PINDAMONHANGABA,FAPI,SP
FACULDADE DE PONTA PORÃ,FAP,MS
FACULDADE DE PORTO VELHO,FIP,RO
FACULDADE DE PRESIDENTE EPITÁCIO - FAPE,FAPE,SP
FACULDADE DE PRESIDENTE VENCESLAU,FAPREV,SP
FACULDADE DE PRIMAVERA,CESPRI,SP
FACULDADE DE QUATRO MARCOS,FQM,MT
FACULDADE DE REABILITAÇÃO DA ASCE,FRASCE,RJ
FACULDADE DE REALEZA,CESREAL,PR
FACULDADE DE RIBEIRÃO PRETO,AFARP,SP
FACULDADE DE ROLIM DE MOURA,FAROL,RO
FACULDADE DE RONDÔNIA,FARO,RO
FACULDADE DE ROSEIRA,FARO,SP
