Users x Problems,A,B,C,D,E,F,G,H,I,J,Total,Accepted
[FATEC-Mogi],0,0,0,1,0,0,0,1,22,0,24,2
[UNIMONTES],0,0,9,2,0,0,0,1,1,0,13,2
[FACOMUFU],0,0,1,1,0,0,0,1,1,0,4,4
[IME-USP],0,0,3,1,1,0,0,1,1,4,11,4
[FATEC-SJC],0,0,0,1,0,0,0,1,4,0,6,2
[UFPI],0,0,0,1,0,0,0,1,4,0,6,2
[UNIOESTE-Cascavel],0,0,0,2,0,0,0,1,9,0,12,2
[UDESC],0,0,3,1,0,0,0,1,2,0,7,5
[DCC-UFRJ],6,0,1,1,8,0,0,1,1,4,22,5
[UNIARARAS],0,0,0,1,0,0,0,1,14,0,16,2
[UFRN],3,0,1,1,0,0,0,1,1,1,8,4
[UFPR],0,0,3,1,0,0,8,1,3,0,16,5
[POLI-USP],0,0,1,1,2,0,0,1,1,2,8,5
[UFMG],14,0,1,1,0,0,0,1,1,2,20,5
[UNICAMP],0,0,1,1,7,0,5,2,1,3,20,4
[UNILINS],0,0,4,2,0,0,0,1,1,0,8,2
[UFSC],0,0,1,1,0,2,0,1,1,0,6,3
[UNIVASF],0,0,0,1,0,0,0,1,5,0,7,2
[UFSM],0,0,0,3,0,0,0,2,3,1,9,2
[UFSCar],0,0,0,1,0,0,0,1,3,0,5,2
[UFMS],0,0,0,1,0,0,6,1,7,3,18,2
[ICMC-USP],0,0,1,1,10,0,0,1,1,0,14,4
[UNICAMP],1,0,1,1,1,1,5,1,1,3,15,8
[ITA],3,0,1,1,1,1,1,1,1,1,11,9
[IME-RJ],1,0,1,1,0,0,2,2,1,0,8,4
[UFMG],8,0,1,1,0,0,0,1,1,1,13,4
[UFG],0,0,1,1,4,0,0,1,1,1,9,4
[UFV],6,0,1,1,0,0,0,1,3,0,12,4
[UFPE],0,0,1,1,1,1,0,1,1,3,9,7
[ICMC-USP],0,0,1,1,4,0,3,1,2,0,12,6
[UFRGS],0,0,1,1,0,0,0,1,2,5,10,5
[UFPE],1,0,1,1,10,0,2,1,1,5,22,5
[ITA],0,0,1,1,13,0,0,1,1,1,18,7
[UFAM],0,0,0,2,0,0,0,1,4,0,7,2
[UNISUL],0,0,1,1,0,0,0,1,8,0,11,3
[UTFPR],0,0,1,1,0,2,0,1,2,0,7,5
[UEFS],0,0,0,3,0,0,0,1,4,0,8,2
[UFES],0,0,1,1,0,0,0,1,4,3,10,3
[URI],0,0,0,1,0,0,0,1,3,3,8,2
[PUC-RJ],0,0,0,1,6,0,0,1,1,0,9,3
[UNIFEI],0,0,1,1,0,0,0,2,3,4,11,4
[UECE],1,0,1,1,0,0,0,1,1,2,7,4
[UERJ],0,0,6,1,1,0,0,1,1,1,11,4
[UNIR],0,0,0,1,0,0,0,1,3,0,5,2
[IFSC-USP],0,0,1,1,0,0,9,1,2,0,14,4
[UFCG],0,0,1,1,0,0,0,1,1,0,4,4
[FATEC-AM],0,0,0,1,0,0,0,1,7,2,11,2
[UFS],0,0,2,1,6,0,0,4,1,0,14,4
[UNOESTE],0,0,0,1,0,0,0,1,6,0,8,2
