0,1,2
Problems,Total,Accepted
A,65,58 (89%)
B,71,22 (31%)
C,123,29 (24%)
D,7,1 (14%)
E,21,8 (38%)
F,6,2 (33%)
G,54,20 (37%)
H,118,40 (34%)
I,51,26 (51%)
J,2,2 (100%)
K,9,1 (11%)
