0,1,2
Problems,Total,Accepted
A,68,16 (24%)
B,23,0 (0%)
C,41,36 (88%)
D,19,9 (47%)
E,27,7 (26%)
F,158,54 (34%)
G,99,15 (15%)
H,5,0 (0%)
I,8,0 (0%)
J,28,10 (36%)
