#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,J_pen,Total_Qst,Total_Pen
21,dino/1,[UFSCar - Sorocaba] Dinossauro do Chrome,1/104,,,3/54,1/205,,,,1/4,,,4 (407),104,,,54,205,,,,4,,4,407
22,reboot/1,[IME] Sudo Reboot,1/108,,2/-,1/34,,,,2/238,1/7,,,4 (407),108,,,34,,,,238,7,,4,407
23,thalijom/1,[UECE] Tha Ali Jom,1/68,1/-,,2/43,1/-,,,3/233,1/5,,3/-,4 (409),68,,,43,,,,233,5,,4,409
24,luminatti/1,[URI - Erechim] URI Luminatti,3/133,,,1/31,1/208,,,3/-,1/5,,,4 (417),133,,,31,208,,,,5,,4,417
25,pera/1,"[UFCG] Pera, ja ta valendo?",2/70,,,2/31,5/-,,,2/258,1/4,,,4 (423),70,,,31,,,,258,4,,4,423
26,bugbusters/1,[UTFPR] BugBusters,1/180,,,1/31,1/215,,,1/-,1/16,,3/-,4 (442),180,,,31,215,,,,16,,4,442
27,saideira/1,[UFU] Saideira,1/64,16/-,,3/65,4/230,,,3/-,1/5,,,4 (464),64,,,65,230,,,,5,,4,464
28,samurai/1,[UDESC] Not Balde Samurai,1/120,,,1/31,4/272,,,,1/8,,,4 (491),120,,,31,272,,,,8,,4,491
29,bateuai/1,[UFS] Bateu ai?,2/273,,,1/41,1/215,,,,1/4,,,4 (553),273,,,41,215,,,,4,,4,553
30,gotta/1,[UNICAMP] Gotta Catch 'em All!,1/55,,1/-,1/28,1/-,1/-,,3/-,1/5,1/-,1/-,3 (88),55,,,28,,,,,5,,3,88
31,ateamanha/1,[UFSCar] AteAmanha,1/106,,,3/58,,,,4/-,1/4,,,3 (208),106,,,58,,,,,4,,3,208
32,exceptions/1,[UNIBALSAS] We are Exceptions,1/130,,,2/55,,,,,1/13,,,3 (218),130,,,55,,,,,13,,3,218
33,akm/1,[UFFS] AKM,3/179,,,1/35,5/-,,,,1/4,,,3 (258),179,,,35,,,,,4,,3,258
34,batunoeste/1,[UNOESTE] BatUnoeste,2/207,,,2/67,1/-,,,3/-,1/7,,,3 (321),207,,,67,,,,,7,,3,321
35,bfop/1,[UNIVASF] BruteForceOrientedProgramming,3/243,,,1/51,,,,4/-,1/5,,,3 (339),243,,,51,,,,,5,,3,339
36,java/1,[UFC] Java de C# e R,1/213,,,4/72,,,,13/-,1/5,,,3 (350),213,,,72,,,,,5,,3,350
37,cid10/1,[IFPB - Joao Pessoa] CID-10,3/247,,,2/65,,,,,1/11,,16/-,3 (383),247,,,65,,,,,11,,3,383
