0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
19,teambrbr34/BRA,[UnB-FGA] Teorema de Offson,,2/299,1/49,,1/22,1/33,,1/6,3/91,2/269,,,,7 (849)
13,teambrbr34/BRA,[UnB-FGA] Teorema de Offson,,2/299,1/49,,1/22,1/33,,1/6,3/91,2/269,,,,7 (849)
20,teambrbr64/BRA,[UFU] Ahozinho com Feijão,,,1/27,4/-,3/153,3/128,2/250,1/4,1/45,1/161,,,,7 (868)
14,teambrbr64/BRA,[UFU] Ahozinho com Feijão,,,1/27,4/-,3/153,3/128,2/250,1/4,1/45,1/161,,,,7 (868)
21,teambrbr37/BRA,[UFPE] Veteranos Bolados,,2/154,5/66,,1/72,2/165,1/179,1/7,2/120,1/-,,,,7 (903)
15,teambrbr37/BRA,[UFPE] Veteranos Bolados,,2/154,5/66,,1/72,2/165,1/179,1/7,2/120,1/-,,,,7 (903)
22,team18/ARG,[UNR] Flower Power,,1/274,1/19,,1/41,2/134,1/-,1/3,3/255,1/133,,,,7 (919)
3,team18/ARG,[UNR] Flower Power,,1/274,1/19,,1/41,2/134,1/-,1/3,3/255,1/133,,,,7 (919)
2,team18/ARG,[UNR] Flower Power,,1/274,1/19,,1/41,2/134,1/-,1/3,3/255,1/133,,,,7 (919)
23,332184/MEX,[FC-UNAM] PU++ - F.C.-UNAM,,3/191,1/41,,1/155,8/-,1/70,1/6,7/289,1/28,,,,7 (940)
2,332184/MEX,[FC-UNAM] PU++ - F.C.-UNAM,,3/191,1/41,,1/155,8/-,1/70,1/6,7/289,1/28,,,,7 (940)
2,332184/MEX,[FC-UNAM] PU++ - F.C.-UNAM,,3/191,1/41,,1/155,8/-,1/70,1/6,7/289,1/28,,,,7 (940)
24,332190/MEX,[ITESM-Queretaro] pragma - ITESM Queretaro,,2/207,2/55,,1/75,1/254,,1/5,3/203,1/185,,,,7 (1064)
3,332190/MEX,[ITESM-Queretaro] pragma - ITESM Queretaro,,2/207,2/55,,1/75,1/254,,1/5,3/203,1/185,,,,7 (1064)
3,332190/MEX,[ITESM-Queretaro] pragma - ITESM Queretaro,,2/207,2/55,,1/75,1/254,,1/5,3/203,1/185,,,,7 (1064)
25,332195/MEX,[ITAM] The Beat Alls - ITAM,,2/267,1/46,,1/133,,2/239,1/3,5/282,1/62,,,,7 (1152)
4,332195/MEX,[ITAM] The Beat Alls - ITAM,,2/267,1/46,,1/133,,2/239,1/3,5/282,1/62,,,,7 (1152)
4,332195/MEX,[ITAM] The Beat Alls - ITAM,,2/267,1/46,,1/133,,2/239,1/3,5/282,1/62,,,,7 (1152)
26,332188/MEX,[UGTODCNE] E3 - UGTODCNE,,1/240,2/29,,2/81,8/284,,1/5,2/207,1/133,,,1/-,7 (1179)
5,332188/MEX,[UGTODCNE] E3 - UGTODCNE,,1/240,2/29,,2/81,8/284,,1/5,2/207,1/133,,,1/-,7 (1179)
5,332188/MEX,[UGTODCNE] E3 - UGTODCNE,,1/240,2/29,,2/81,8/284,,1/5,2/207,1/133,,,1/-,7 (1179)
27,team14/CHI,[UCHILE] No importa entrenen weon,,2/270,6/46,,1/62,3/157,,1/19,1/167,3/261,,,,7 (1182)
4,team14/CHI,[UCHILE] No importa entrenen weon,,2/270,6/46,,1/62,3/157,,1/19,1/167,3/261,,,,7 (1182)
1,team14/CHI,[UCHILE] No importa entrenen weon,,2/270,6/46,,1/62,3/157,,1/19,1/167,3/261,,,,7 (1182)
