0,1,2
Problems,Total,Accepted
A,102,73 (72%)
B,88,30 (34%)
C,5,4 (80%)
D,94,58 (62%)
F,107,72 (67%)
G,65,7 (11%)
H,139,21 (15%)
I,27,5 (19%)
J,122,41 (34%)
K,140,32 (23%)
