0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AnswersAnswers NO - Compilation error5NO - File name mismatch1NO - Runtime error16NO - Time limit exceeded56NO - Wrong answer251YES147,Answers,Answers,NO - Compilation error,5.0,NO - File name mismatch,1.0,NO - Runtime error,16.0,NO - Time limit exceeded,56.0,NO - Wrong answer,251.0,YES,147.0,
Answers,Answers,,,,,,,,,,,,,,
NO - Compilation error,5,,,,,,,,,,,,,,
NO - File name mismatch,1,,,,,,,,,,,,,,
NO - Runtime error,16,,,,,,,,,,,,,,
NO - Time limit exceeded,56,,,,,,,,,,,,,,
NO - Wrong answer,251,,,,,,,,,,,,,,
YES,147,,,,,,,,,,,,,,
